                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2529,                 1.4625,                 1.1042,                0.95344,                0.95683,                0.98123,                0.63466,                 1.2031,                 1.3414,                 1.1097,             0.00064957,             0.00064957,             0.00064957
                      2,                 1.3355,                 1.4347,                 1.1389,                0.88565,                0.97122,                0.97375,                0.64642,                 1.1986,                 1.3423,                 1.1211,              0.0011859,              0.0011859,              0.0011859
                      3,                 1.2879,                 1.3234,                 1.1298,                0.89819,                0.85612,                0.92733,                0.55462,                 1.2688,                 1.2939,                 1.1792,              0.0015903,              0.0015903,              0.0015903
                      4,                 1.2761,                  1.156,                  1.125,                0.94252,                0.93525,                0.95522,                 0.6084,                 1.2463,                  1.188,                 1.1441,               0.001406,               0.001406,               0.001406
                      5,                 1.3004,                 1.1181,                  1.138,                0.97523,                0.92806,                0.97611,                 0.6409,                 1.2201,                0.94226,                 1.1549,               0.001406,               0.001406,               0.001406
                      6,                  1.253,                0.95412,                 1.1101,                0.98512,                0.95263,                0.97873,                0.65705,                  1.213,                0.86491,                 1.1289,               0.001208,               0.001208,               0.001208
                      7,                 1.2223,                0.86775,                 1.0992,                0.96772,                0.96403,                0.98622,                0.64764,                  1.192,                 0.7871,                 1.1182,                0.00101,                0.00101,                0.00101
                      8,                 1.2115,                0.81061,                 1.0848,                0.98525,                0.96403,                0.99007,                0.66051,                 1.1293,                0.71485,                 1.0932,               0.000812,               0.000812,               0.000812
                      9,                 1.1664,                0.74319,                 1.0747,                0.97956,                0.95683,                0.98167,                0.66472,                 1.1097,                0.71724,                 1.0775,               0.000614,               0.000614,               0.000614
                     10,                  1.148,                0.69692,                 1.0525,                0.97099,                0.96307,                0.98654,                0.68197,                 1.0778,                0.63357,                 1.0668,               0.000416,               0.000416,               0.000416
